rank,last_rank,entry,total,event_total,chips_used,chips_left,bank,value,gw_transfers,gw_hit,bench_points,active_chip,captain,vice,autosubs_processed,squad_gw,free_hit_reverted,squad_ids,squad
1,1,m7aa0f2c4,358,50,TC@GW3,BB FH WC,1.6,101.1,1,0,4,,Palmer (CHE),Haaland (MCI),False,6,False,1;8;229;115;388;368;40;154;399;411;346;58;259;212;272,"Raya (ARS), Calafiori (ARS), Tarkowski (EVE), De Cuyper (BHA), Guéhi (MCI), Szoboszlai (LIV), Rogers (CHE), Palmer (CHE), Cherki (MCI), Haaland (MCI), Calvert-Lewin (LEE), Forster (BOU), Diop (IPS), Hughes (CRY), Kusi-Asare (FUL)"
2,2,md5c7b575,353,58,BB@GW2 TC@GW3,FH WC,0.6,100.3,2,0,9,,Haaland (MCI),B.Fernandes (MUN),True,6,False,496;229;115;330;173;427;426;68;15;411;346;109;165;175;575,"Kinsky (TOT), Tarkowski (EVE), De Cuyper (BHA), Bogle (LEE), Thomas (COV), Mbeumo (MUN), B.Fernandes (MUN), Tavernier (BOU), Ødegaard (ARS), Haaland (MCI), Calvert-Lewin (LEE), Verbruggen (BHA), João Pedro (CHE), van Ewijk (COV), Yirenkyi (COV)"
3,4,m70cc7b6a,338,69,FH@GW3 WC@GW5,BB TC,0.1,100.3,0,0,13,wildcard,Haaland (MCI),Palmer (CHE),False,6,False,572;8;229;391;124;480;286;15;154;379;411;109;115;277;169,"Tzolakis (HUL), Calafiori (ARS), Tarkowski (EVE), Gvardiol (MCI), Groß (BHA), Gibbs-White (NFO), Belloumi (HUL), Ødegaard (ARS), Palmer (CHE), Isak (LIV), Haaland (MCI), Verbruggen (BHA), De Cuyper (BHA), Egan (HUL), Mheuka (CHE)"
4,5,m8ecfbe9b,328,68,TC@GW3,BB FH WC,1.3,100.1,1,0,2,,Haaland (MCI),Cherki (MCI),True,6,False,1;115;4;388;449;455;368;399;557;411;552;57;556;212;165,"Raya (ARS), De Cuyper (BHA), Gabriel (ARS), Guéhi (MCI), Hall (NEW), Tonali (TOT), Szoboszlai (LIV), Cherki (MCI), Tzolis (ARS), Haaland (MCI), Brobbey (SUN), Petrović (BOU), Targett (HUL), Hughes (CRY), João Pedro (CHE)"
5,6,m443e673f,311,53,FH@GW3 WC@GW5,BB TC,0.2,99.9,0,0,17,wildcard,Haaland (MCI),Palmer (CHE),False,6,False,1;362;229;8;368;154;94;40;557;411;346;572;88;277;194,"Raya (ARS), Jacquet (LIV), Tarkowski (EVE), Calafiori (ARS), Szoboszlai (LIV), Palmer (CHE), Schade (BRE), Rogers (CHE), Tzolis (ARS), Haaland (MCI), Calvert-Lewin (LEE), Tzolakis (HUL), Kayode (BRE), Egan (HUL), Thomas-Asante (COV)"
6,3,mac751a52,304,33,,BB FH TC WC,0.2,100.3,1,0,1,,Palmer (CHE),Raya (ARS),True,6,False,1;388;4;356;503;40;427;268;154;464;379;57;165;482;32,"Raya (ARS), Guéhi (MCI), Gabriel (ARS), Virgil (LIV), Van de Ven (TOT), Rogers (CHE), Mbeumo (MUN), King (FUL), Palmer (CHE), Wissa (NEW), Isak (LIV), Petrović (BOU), João Pedro (CHE), Hudson-Odoi (NFO), Cash (AVL)"
7,8,mf01a73a8,299,59,WC@GW3,BB FH TC,1.4,101.1,3,0,7,,Haaland (MCI),Saka (ARS),True,6,False,572;649;8;229;173;277;154;40;12;15;411;109;165;51;441,"Tzolakis (HUL), Maitland-Niles (EVE), Calafiori (ARS), Tarkowski (EVE), Thomas (COV), Egan (HUL), Palmer (CHE), Rogers (CHE), Saka (ARS), Ødegaard (ARS), Haaland (MCI), Verbruggen (BHA), João Pedro (CHE), George Hemmings (AVL), Obi (MUN)"
8,7,m6b5b9e77,293,43,BB@GW4 FH@GW5,TC WC,0.2,101.5,0,0,10,freehit,Haaland (MCI),Ødegaard (ARS),False,6,True,1;8;449;115;259;399;368;15;154;411;165;109;454;175;346,"Raya (ARS), Calafiori (ARS), Hall (NEW), De Cuyper (BHA), Diop (IPS), Cherki (MCI), Szoboszlai (LIV), Ødegaard (ARS), Palmer (CHE), Haaland (MCI), João Pedro (CHE), Verbruggen (BHA), Elanga (NEW), van Ewijk (COV), Calvert-Lewin (LEE)"
9,9,m5cc3fdda,278,48,,BB FH TC WC,0.2,100.0,3,4,7,,Haaland (MCI),Delap (NFO),True,6,False,109;418;8;201;367;15;426;397;411;167;464;495;586;112;51,"Verbruggen (BHA), Maguire (MUN), Calafiori (ARS), Muñoz (NFO), Gakpo (LIV), Ødegaard (ARS), B.Fernandes (MUN), Semenyo (MCI), Haaland (MCI), Delap (NFO), Wissa (NEW), Austin (TOT), Mendy (HUL), Van Hecke (TOT), George Hemmings (AVL)"
10,10,m05e097b2,270,43,FH@GW3 WC@GW4,BB TC,0.7,100.6,1,0,3,,Haaland (MCI),Gakpo (LIV),True,6,False,57;8;391;356;115;279;367;154;368;411;569;111;165;210;646,"Petrović (BOU), Calafiori (ARS), Gvardiol (MCI), Virgil (LIV), De Cuyper (BHA), Ajayi (HUL), Gakpo (LIV), Palmer (CHE), Szoboszlai (LIV), Haaland (MCI), Gonzalo (FUL), Steele (BHA), João Pedro (CHE), Wharton (CRY), Fofana (SUN)"
