id,web_name,team,pos,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,saves,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded
1,Raya,ARS,GK,90,1,0,0,0,3,0,6,0,0,2,0,0.00,0.00,1.31
2,Arrizabalaga,ARS,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
3,Meslier,ARS,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
4,Gabriel,ARS,DEF,90,1,0,0,0,3,0,6,0,0,0,9,0.00,0.14,1.31
5,J.Timber,ARS,DEF,59,0,0,0,0,3,0,-6,0,0,0,2,0.00,0.02,0.61
6,Saliba,ARS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
7,Lewis-Skelly,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
8,Calafiori,ARS,DEF,90,1,0,0,0,3,0,-3,0,0,0,5,0.07,0.03,1.31
9,Hincapie,ARS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
10,White,ARS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
11,Mosquera,ARS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
12,Saka,ARS,MID,80,2,0,0,0,3,0,14,0,0,0,2,0.34,0.55,1.00
13,Rice,ARS,MID,90,1,0,0,0,3,0,13,1,0,0,8,0.02,0.06,1.31
14,Eze,ARS,MID,17,1,0,0,0,0,0,5,0,0,0,0,0.00,0.02,0.54
15,Ødegaard,ARS,MID,72,2,0,0,0,3,0,10,0,0,0,2,0.07,0.02,0.77
16,Madueke,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
17,Merino,ARS,MID,30,1,0,0,0,0,0,4,0,0,0,4,0.00,0.13,0.70
18,Martinelli,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
19,Zubimendi,ARS,MID,30,1,0,0,0,0,0,2,0,0,0,1,0.13,0.00,0.70
20,Dowman,ARS,MID,9,1,0,0,0,0,0,4,0,0,0,0,0.00,0.08,0.31
21,Nørgaard,EVE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
22,Nwaneri,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
23,Fábio Vieira,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
24,Nelson,ARS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
25,Gyökeres,ARS,FWD,17,1,0,0,0,0,0,5,0,0,0,0,0.00,0.23,0.54
26,Havertz,ARS,FWD,90,2,0,0,0,3,0,5,0,0,0,3,0.78,0.02,1.31
27,G.Jesus,ARS,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
28,Martinez,CHE,GK,90,2,0,0,0,3,0,7,0,0,3,0,0.00,0.00,2.65
29,M.Bizot,AVL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
30,Digne,AVL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
31,Konsa,ARS,DEF,90,1,0,0,0,3,0,2,0,0,0,4,0.23,0.01,1.31
32,Cash,AVL,DEF,45,-1,0,0,0,2,0,-7,1,0,0,3,0.00,0.00,0.92
33,Mings,AVL,DEF,90,3,0,0,0,2,0,10,0,0,0,13,0.00,0.00,1.56
34,Pau,AVL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
35,Bogarde,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
36,Maatsen,AVL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
37,Lindelöf,AVL,DEF,90,1,0,0,0,2,0,1,0,0,0,6,0.00,0.00,1.56
38,A.García,AVL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
39,Nedeljkovic,AVL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
40,Rogers,CHE,MID,90,2,0,0,0,3,0,17,0,0,0,8,0.33,0.07,2.65
41,Buendía,AVL,MID,90,12,1,0,0,2,3,50,0,0,0,15,0.14,0.07,1.56
42,Guessand,CRY,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
43,Tielemans,MUN,MID,90,4,0,0,0,1,0,22,0,0,0,13,0.09,0.20,1.62
44,Bailey,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
45,McGinn,AVL,MID,83,6,0,1,1,0,0,19,0,0,0,6,0.00,0.04,0.78
46,Barkley,AVL,MID,6,1,0,0,0,2,0,3,0,0,0,4,0.00,0.00,0.78
47,Kamara,AVL,MID,83,6,0,1,1,0,0,26,0,0,0,6,0.12,0.01,0.78
48,Onana,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
49,Iling Jr,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
50,Burrowes,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
51,George Hemmings,AVL,MID,18,1,0,0,0,2,0,2,0,0,0,0,0.00,0.00,0.87
52,Alysson,AVL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
53,Manzambi,AVL,MID,71,13,1,1,1,0,2,45,0,0,0,7,0.44,0.16,0.68
54,Gomes,AVL,MID,90,4,0,0,0,2,0,13,0,0,0,13,0.00,0.02,1.56
55,Watkins,AVL,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
56,Abraham,AVL,FWD,2,1,0,0,0,1,0,3,0,0,0,0,0.00,0.00,0.43
57,Petrović,BOU,GK,90,2,0,0,0,1,0,12,0,0,2,0,0.00,0.00,1.65
58,Forster,BOU,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
59,Dennis,BOU,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
60,Hill,BOU,DEF,90,4,0,0,0,1,0,15,0,0,0,15,0.00,0.02,1.65
61,Truffert,BOU,DEF,90,2,0,0,0,1,0,6,0,0,0,7,0.02,0.06,1.65
62,Diakité,BOU,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
63,Milosavljević,BOU,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
64,Smith,BOU,DEF,74,2,0,0,0,1,0,3,0,0,0,0,0.00,0.02,1.40
65,J.Araujo,BOU,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
66,Soler,BOU,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
67,Rayan,BOU,MID,87,2,0,0,0,1,0,17,0,0,0,4,0.00,0.35,1.40
68,Tavernier,BOU,MID,74,2,0,0,0,1,0,14,0,0,0,6,0.00,0.11,1.40
69,Scott,BOU,MID,90,2,0,0,0,1,0,17,0,0,0,8,0.12,0.07,1.65
70,Kluivert,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
71,Cook,BOU,MID,15,1,0,0,0,0,0,3,0,0,0,2,0.00,0.00,0.25
72,Gannon-Doak,BOU,MID,2,1,0,0,0,0,0,3,0,0,0,0,0.00,0.02,0.25
73,Adams,BOU,MID,87,4,0,0,0,1,0,13,0,0,0,13,0.00,0.04,1.40
74,Brooks,BOU,MID,15,1,0,0,0,0,0,4,0,0,0,2,0.00,0.06,0.25
75,Christie,BOU,MID,74,2,0,0,0,1,0,0,0,0,0,5,0.50,0.01,1.40
76,Tóth.A,BOU,MID,2,1,0,0,0,0,0,3,0,0,0,0,0.00,0.00,0.25
77,Adli,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
78,Kroupi.Jr,BOU,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
79,Evanilson,BOU,FWD,90,2,0,0,0,1,0,12,0,0,0,5,0.16,0.01,1.65
80,Enes Ünal,BOU,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
81,Rodríguez,BOU,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
82,Kelleher,BRE,GK,90,6,0,0,1,0,0,27,0,0,2,0,0.00,0.00,0.83
83,Valdimarsson,BRE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
84,Collins,BRE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
85,Van den Berg,BRE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
86,Lewis-Potter,BRE,MID,80,3,0,0,1,0,0,15,0,0,0,9,0.15,0.01,0.70
87,Ajer,BRE,DEF,90,7,0,0,1,0,1,29,0,0,0,9,0.00,0.05,0.83
88,Kayode,BRE,DEF,68,6,0,0,1,0,0,20,0,0,0,2,0.00,0.07,0.55
89,Henry,BRE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
90,Hickey,BRE,DEF,21,1,0,0,0,0,0,5,0,0,0,4,0.00,0.01,0.28
91,Pinnock,COV,DEF,90,8,0,0,1,0,0,24,0,0,0,19,0.00,0.00,1.10
92,Ji-soo,BRE,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
93,Schuster,BRE,DEF,90,14,0,1,1,0,3,43,0,0,0,16,0.00,0.52,0.83
94,Schade,BRE,MID,90,9,0,2,1,0,0,27,0,0,0,7,0.54,0.02,0.83
95,O.Dango,BRE,MID,9,1,0,0,0,0,0,2,0,0,0,0,0.00,0.00,0.13
96,Damsgaard,BRE,MID,86,3,0,0,1,0,0,15,0,0,0,10,0.04,0.28,0.70
97,Jensen,BRE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
