id,round,opponent_team,was_home,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,value,selected,transfers_in,transfers_out
1,1,7,True,90,6,0,0,1,0,0,24,0,0.00,0.00,0.00,0.20,0,60,3347153,0,0
1,2,2,False,90,6,0,0,1,0,0,21,0,0.00,0.00,0.00,0.33,0,60,3801300,106734,81978
1,3,6,True,90,3,0,0,0,1,0,15,0,0.00,0.01,0.01,0.39,0,60,3887669,204948,228728
1,4,20,False,90,14,0,0,1,0,3,38,0,0.00,0.00,0.00,1.80,0,60,4195206,249119,214670
1,5,5,False,90,1,0,0,0,3,0,6,0,0.00,0.00,0.00,1.31,0,60,4487209,279598,67028
4,1,7,True,90,5,0,0,1,0,0,21,1,0.05,0.01,0.06,0.20,4,80,2647984,0,0
4,2,2,False,90,8,0,0,1,0,0,23,0,0.13,0.02,0.15,0.33,10,80,2878770,58765,124108
4,3,6,True,90,2,0,0,0,1,0,10,0,0.31,0.02,0.33,0.39,7,80,2590027,46883,345642
4,4,20,False,90,9,0,0,1,0,2,30,1,0.02,0.01,0.03,1.80,11,80,2549738,56562,254329
4,5,5,False,90,1,0,0,0,3,0,6,0,0.00,0.14,0.14,1.31,9,80,2494884,48033,118812
5,1,7,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,65,11200,0,0
5,2,2,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,65,9810,401,3104
5,3,6,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,65,8594,549,2441
5,4,20,False,45,1,0,0,0,0,0,3,0,0.00,0.01,0.01,1.57,3,65,8281,618,1390
5,5,5,False,59,0,0,0,0,3,0,-6,0,0.00,0.02,0.02,0.61,2,65,32012,20088,3818
7,1,7,True,90,3,0,0,1,0,0,15,0,0.06,0.11,0.17,0.20,7,55,55656,0,0
7,2,2,False,70,3,0,0,1,0,0,15,0,0.07,0.02,0.09,0.33,5,55,70615,9693,9051
7,3,6,True,66,2,0,0,0,1,0,5,0,0.03,0.10,0.13,0.26,2,55,71335,8849,13490
7,4,20,False,45,1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.23,0,55,70499,6908,11120
7,5,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,64229,3227,11143
8,1,7,True,80,9,0,1,1,0,0,31,0,0.04,0.09,0.13,0.06,5,55,3542684,0,0
8,2,2,False,90,11,0,1,1,0,2,30,0,0.11,0.46,0.57,0.33,3,56,4150694,310105,41633
8,3,6,True,66,2,0,0,0,1,0,0,0,0.39,0.03,0.42,0.26,1,57,4639050,515479,118556
8,4,20,False,90,6,0,0,1,0,0,18,0,0.06,0.01,0.07,1.80,4,58,5296821,487524,94715
8,5,5,False,90,1,0,0,0,3,0,-3,0,0.07,0.03,0.10,1.31,5,58,5451521,266900,83603
9,1,7,True,9,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.15,0,55,165924,0,0
9,2,2,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,54,145234,3910,41046
9,3,6,True,23,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.13,3,54,119369,4425,35641
9,4,20,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,53,109174,3925,19376
9,5,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,53,98376,2559,15648
10,1,7,True,90,11,0,1,1,0,2,37,0,0.18,0.21,0.39,0.20,5,55,401419,0,0
10,2,2,False,90,7,0,0,1,0,1,26,0,0.00,0.05,0.05,0.33,4,55,683136,144941,25055
10,3,6,True,90,2,0,0,0,1,0,11,0,0.00,0.03,0.03,0.39,6,55,745511,163295,117376
10,4,20,False,45,1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.23,3,55,815166,123355,116956
10,5,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,573621,21167,239394
11,1,7,True,90,6,0,0,1,0,0,27,0,0.00,0.00,0.00,0.20,6,55,571606,0,0
11,2,2,False,78,6,0,0,1,0,0,25,0,0.00,0.01,0.01,0.33,4,55,566006,15410,45949
11,3,6,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,438589,13546,128368
11,4,20,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,54,248830,733,202535
11,5,5,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,53,181804,476,81877
12,1,7,True,67,9,1,0,1,0,1,36,0,0.64,0.08,0.72,0.06,7,95,819914,0,0
12,2,2,False,90,11,1,0,1,0,3,46,0,0.63,0.04,0.67,0.33,11,95,1039189,88913,35230
12,3,6,True,89,2,0,0,0,1,0,13,0,0.23,0.23,0.46,0.39,4,95,1160318,156377,101286
12,4,20,False,90,8,1,0,1,0,0,28,0,1.38,0.08,1.46,1.80,7,95,1257689,213086,148406
12,5,5,False,80,2,0,0,0,3,0,14,0,0.34,0.55,0.89,1.00,2,95,1461185,221246,64929
13,1,7,True,67,3,0,0,1,0,0,10,0,0.07,0.08,0.15,0.06,6,75,1604406,0,0
13,2,2,False,84,5,0,0,1,0,0,19,0,0.00,0.10,0.10,0.33,12,75,1662633,35487,157722
13,3,6,True,90,5,0,1,0,1,0,22,0,0.03,0.08,0.11,0.39,6,75,1465517,21785,248891
13,4,20,False,80,6,0,1,1,0,0,27,0,0.00,0.37,0.37,1.41,10,74,1379844,25889,152556
13,5,5,False,90,1,0,0,0,3,0,13,1,0.02,0.06,0.08,1.31,8,74,1344452,28685,83505
14,1,7,True,14,1,0,0,0,0,0,4,0,0.04,0.00,0.04,0.15,2,65,188164,0,0
14,2,2,False,45,1,0,0,0,0,0,6,0,0.00,0.07,0.07,0.24,3,65,169814,5716,44492
14,3,6,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,64,146059,8271,40572
