id,web_name,team,pos,now_cost,cost_change_event,selected_by_percent,transfers_in_event,transfers_out_event
1,Raya,ARS,GK,61,1,42.2,109783,37759
2,Arrizabalaga,ARS,GK,49,0,0.1,82,193
3,Meslier,ARS,GK,49,0,0.0,39,97
4,Gabriel,ARS,DEF,80,0,22.8,19134,56458
5,J.Timber,ARS,DEF,65,0,0.4,9938,3155
6,Saliba,ARS,DEF,59,0,0.2,303,897
7,Lewis-Skelly,ARS,MID,54,-1,0.6,717,4372
8,Calafiori,ARS,DEF,58,0,50.6,62259,52526
9,Hincapie,ARS,DEF,52,-1,0.9,1152,4975
10,White,ARS,DEF,55,0,5.0,3147,57088
11,Mosquera,ARS,DEF,53,0,1.6,955,7793
12,Saka,ARS,MID,95,0,13.5,83209,38629
13,Rice,ARS,MID,74,0,11.8,7093,62435
14,Eze,ARS,MID,63,0,1.0,1745,5674
15,Ødegaard,ARS,MID,68,0,19.8,61975,75547
16,Madueke,ARS,MID,62,0,0.2,613,1334
17,Merino,ARS,MID,58,0,0.4,551,2464
18,Martinelli,ARS,MID,63,0,0.1,0,454
19,Zubimendi,ARS,MID,53,0,0.6,403,3160
20,Dowman,ARS,MID,53,0,0.1,368,476
22,Nwaneri,ARS,MID,54,0,0.0,0,44
23,Fábio Vieira,ARS,MID,55,0,0.0,0,33
24,Nelson,ARS,MID,55,0,0.0,0,16
25,Gyökeres,ARS,FWD,71,-1,3.1,4732,13815
26,Havertz,ARS,FWD,76,0,8.5,47693,38983
27,G.Jesus,ARS,FWD,59,0,0.1,0,781
31,Konsa,ARS,DEF,46,1,19.4,77462,37095
452,Bruno G.,ARS,MID,67,0,1.8,4321,6315
557,Tzolis,ARS,MID,63,-1,12.3,9688,126139
29,M.Bizot,AVL,GK,45,0,0.1,46,850
30,Digne,AVL,DEF,45,0,0.0,0,182
32,Cash,AVL,DEF,44,0,4.9,2231,21721
33,Mings,AVL,DEF,45,0,0.4,1378,1145
34,Pau,AVL,DEF,45,0,0.3,33,2698
35,Bogarde,AVL,MID,49,-1,0.1,144,382
36,Maatsen,AVL,DEF,44,-1,0.5,46,5323
37,Lindelöf,AVL,DEF,45,0,0.3,804,1060
38,A.García,AVL,DEF,40,0,1.5,1526,5088
39,Nedeljkovic,AVL,DEF,40,0,0.1,0,448
41,Buendía,AVL,MID,59,0,1.0,10031,3304
44,Bailey,AVL,MID,54,0,0.1,0,399
45,McGinn,AVL,MID,54,0,2.2,5618,7009
46,Barkley,AVL,MID,50,0,0.3,459,1515
47,Kamara,AVL,MID,50,0,0.3,1063,1315
48,Onana,AVL,MID,49,0,0.0,30,76
49,Iling Jr,AVL,MID,50,0,0.0,0,9
50,Burrowes,AVL,MID,45,0,0.6,525,2871
51,George Hemmings,AVL,MID,45,0,1.2,2683,8408
52,Alysson,AVL,MID,50,0,0.0,60,673
53,Manzambi,AVL,MID,59,0,0.4,24896,2309
54,Gomes,AVL,MID,55,0,0.0,369,145
55,Watkins,AVL,FWD,78,0,2.5,0,9932
56,Abraham,AVL,FWD,55,0,0.2,1323,1444
160,Garnacho,AVL,MID,58,0,0.3,411,2369
166,N.Jackson,AVL,FWD,65,0,1.4,28469,6268
582,Madjo,AVL,FWD,54,0,0.2,158,1544
596,Ruggeri,AVL,DEF,45,0,0.1,425,275
597,Suzuki,AVL,GK,50,0,1.9,11660,5292
606,Rowe,AVL,DEF,40,0,0.2,257,767
607,Lynch,AVL,MID,45,0,0.1,0,591
611,Wan-Bissaka,AVL,DEF,45,0,0.2,1214,1214
618,Goretzka,AVL,MID,59,0,0.0,16,364
630,Harwood-Bellis,AVL,DEF,45,0,0.0,148,149
631,Mbaye,AVL,MID,60,0,0.1,737,988
667,Wright,AVL,GK,40,0,0.1,5633,532
57,Petrović,BOU,GK,45,0,3.0,4853,8946
58,Forster,BOU,GK,40,0,3.5,6890,5865
59,Dennis,BOU,GK,40,0,0.1,0,468
60,Hill,BOU,DEF,55,0,0.8,2572,2531
61,Truffert,BOU,DEF,54,-1,3.0,3772,10227
62,Diakité,BOU,DEF,49,-1,0.2,397,823
63,Milosavljević,BOU,DEF,49,0,0.0,18,36
